                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                     35,                0.42321,                 1.5612,                 1.2436,              0.0086801,              0.0086801,              0.0086801,                0.79349,                   0.55,                0.61833,                0.23998,                0.45435,                 1.7102,                 1.1652
                     36,                 0.4225,                  1.589,                 1.2185,              0.0086401,              0.0086401,              0.0086401,                0.68188,                0.64307,                0.66146,                0.21299,                0.50181,                 1.4413,                 1.2125
                     37,                 0.4182,                 1.6243,                 1.2009,              0.0086001,              0.0086001,              0.0086001,                0.62069,                 0.5625,                0.55752,                0.18134,                0.51077,                 1.5254,                 1.2641
                     38,                0.40859,                  1.522,                 1.2103,              0.0085601,              0.0085601,              0.0085601,                0.73651,                0.55908,                0.57636,                0.18398,                0.52105,                 1.5217,                  1.272
                     39,                0.40784,                 1.5139,                 1.1869,              0.0085201,              0.0085201,              0.0085201,                0.69345,                    0.6,                0.61029,                0.19928,                 0.5378,                 1.5748,                 1.2956
                     40,                0.43774,                 1.5558,                 1.2054,              0.0084802,              0.0084802,              0.0084802,                 0.8632,                  0.625,                0.63826,                0.21008,                0.50062,                 1.4839,                 1.2266
                     41,                0.40205,                 1.4791,                 1.1848,              0.0084402,              0.0084402,              0.0084402,                0.82157,                0.51806,                0.64579,                0.20649,                0.49321,                 1.4185,                 1.2339
                     42,                0.41811,                 1.4376,                 1.1983,              0.0084002,              0.0084002,              0.0084002,                0.84465,                0.61169,                0.69909,                0.28096,                0.43952,                 1.3622,                 1.1507
                     43,                0.40685,                 1.4503,                 1.2047,              0.0083602,              0.0083602,              0.0083602,                0.78041,                0.62198,                 0.6625,                0.20425,                0.49093,                 1.4219,                 1.2459
                     44,                0.42267,                 1.4991,                 1.2171,              0.0083202,              0.0083202,              0.0083202,                0.82513,                 0.4625,                0.56738,                0.22135,                 0.4717,                 1.5413,                  1.211
                     45,                0.40356,                 1.4164,                 1.1846,              0.0082802,              0.0082802,              0.0082802,                0.79847,                  0.625,                0.66635,                  0.264,                 0.4436,                 1.4899,                 1.1449
                     46,                0.40916,                 1.4506,                 1.1701,              0.0082402,              0.0082402,              0.0082402,                 0.8398,                0.52422,                0.64873,                0.21895,                0.47754,                 1.4447,                 1.1736
                     47,                0.40851,                 1.4594,                 1.1872,              0.0082002,              0.0082002,              0.0082002,                0.82086,                0.45829,                0.53899,                 0.1758,                0.52035,                 1.7955,                 1.2979
                     48,                0.40976,                  1.425,                 1.1848,              0.0081602,              0.0081602,              0.0081602,                0.82873,                 0.6125,                0.66644,                0.24321,                0.47545,                 1.3751,                 1.2008
                     49,                0.41374,                 1.4534,                 1.1732,              0.0081202,              0.0081202,              0.0081202,                 0.8263,                 0.6125,                0.66573,                0.25719,                0.46191,                 1.4635,                 1.1852
                     50,                0.40579,                 1.3745,                 1.1777,              0.0080802,              0.0080802,              0.0080802,                  0.865,                  0.575,                0.72415,                0.26314,                0.46005,                 1.3683,                 1.1691
                     51,                0.39559,                 1.3828,                 1.1795,              0.0080402,              0.0080402,              0.0080402,                0.77726,                  0.675,                0.73051,                0.24753,                0.48406,                 1.4225,                 1.2142
                     52,                0.40239,                 1.3664,                 1.1881,              0.0080002,              0.0080002,              0.0080002,                0.85623,                0.59563,                0.66779,                0.22362,                0.49676,                 1.4446,                 1.2438
                     53,                0.39734,                 1.3849,                 1.1566,              0.0079602,              0.0079602,              0.0079602,                0.83478,                  0.625,                0.67474,                0.27601,                0.45053,                 1.4025,                 1.1577
                     54,                0.39744,                 1.3911,                 1.1807,              0.0079202,              0.0079202,              0.0079202,                0.87353,                    0.6,                0.67926,                0.22015,                 0.4794,                 1.3748,                  1.207
                     55,                0.39248,                 1.3136,                 1.1431,              0.0078802,              0.0078802,              0.0078802,                0.76202,                 0.7125,                 0.7482,                0.29537,                0.43434,                 1.3576,                 1.1182
                     56,                 0.3862,                  1.329,                 1.1608,              0.0078402,              0.0078402,              0.0078402,                0.84912,                  0.625,                0.71161,                0.30419,                0.43869,                 1.3162,                 1.1459
                     57,                0.40034,                 1.3528,                 1.1631,              0.0078002,              0.0078002,              0.0078002,                0.79918,                0.64672,                0.74023,                0.25719,                0.47347,                 1.3106,                 1.2017
                     58,                0.39344,                 1.2766,                 1.1643,              0.0077602,              0.0077602,              0.0077602,                0.84121,                0.66219,                0.75504,                0.29468,                0.45458,                 1.2809,                 1.1574
                     59,                0.39215,                 1.3037,                 1.1553,              0.0077202,              0.0077202,              0.0077202,                0.88064,                   0.65,                0.73768,                0.23572,                 0.4832,                 1.3583,                 1.1971
                     60,                0.39783,                  1.327,                 1.1575,              0.0076802,              0.0076802,              0.0076802,                0.81459,                0.65908,                0.76149,                 0.2689,                0.47037,                 1.2925,                 1.1983
                     61,                0.39495,                 1.3039,                 1.1673,              0.0076402,              0.0076402,              0.0076402,                0.87401,                 0.6125,                0.70195,                0.25662,                0.48054,                 1.4155,                 1.2274
                     62,                0.39484,                 1.2989,                 1.1527,              0.0076002,              0.0076002,              0.0076002,                0.95222,                 0.5875,                0.75789,                0.27403,                0.43349,                 1.3329,                 1.1308
                     63,                0.38379,                 1.2496,                 1.1454,              0.0075602,              0.0075602,              0.0075602,                0.91059,                 0.6625,                0.75725,                0.28922,                0.45102,                 1.3373,                 1.1597
