                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
45,5.4527,2.147,1.2831,0.0095066,0.0095066,0.0095066,0.49451,0.25581,0.22051,0.04537,10.084,2.9055,1.6242
46,5.2108,2.0853,1.2989,0.0094838,0.0094838,0.0094838,0.8439,0.27907,0.34208,0.07548,8.7795,2.8972,1.5105
47,5.3427,1.9789,1.2825,0.0094605,0.0094605,0.0094605,0.85999,0.37209,0.46135,0.17164,6.7768,2.5522,1.2949
48,5.3314,1.9541,1.2707,0.0094367,0.0094367,0.0094367,0.75927,0.36695,0.36884,0.14639,8.4681,2.4457,1.4981
49,5.1079,2.028,1.2853,0.0094125,0.0094125,0.0094125,0.57196,0.37209,0.37033,0.13193,7.2012,3.0156,1.3411
50,5.3569,1.9002,1.3052,0.0093877,0.0093877,0.0093877,0.33027,0.27907,0.20212,0.06443,8.2651,2.9293,1.3923
51,4.8746,1.9283,1.2722,0.0093625,0.0093625,0.0093625,0.6479,0.46512,0.43053,0.14661,7.3783,2.6229,1.4006
52,5.1241,1.863,1.2613,0.0093368,0.0093368,0.0093368,0.765,0.37209,0.41521,0.10781,7.5623,2.5085,1.4775
53,5.2545,1.9625,1.2515,0.0093107,0.0093107,0.0093107,0.43862,0.4186,0.33159,0.12192,7.0639,2.2945,1.444
54,5.0449,2.0518,1.288,0.0092841,0.0092841,0.0092841,0.5904,0.30233,0.26917,0.07861,8.2125,2.8161,1.5026
55,4.9536,1.8582,1.2574,0.009257,0.009257,0.009257,0.55316,0.40322,0.36569,0.10255,7.4051,2.7079,1.3777
56,5.0827,1.891,1.2544,0.0092294,0.0092294,0.0092294,0.8298,0.37209,0.4395,0.1556,7.8246,2.2463,1.3775
57,4.749,1.8728,1.2523,0.0092014,0.0092014,0.0092014,0.77434,0.27907,0.37152,0.11668,7.7855,2.3432,1.3769
58,4.9303,1.7688,1.2575,0.009173,0.009173,0.009173,0.62642,0.53488,0.51402,0.19334,6.7572,2.1508,1.3684
59,4.9706,1.7523,1.2747,0.009144,0.009144,0.009144,0.68071,0.44186,0.49346,0.20135,6.8186,2.0522,1.3032
60,5.1319,1.8039,1.2677,0.0091147,0.0091147,0.0091147,0.64909,0.39535,0.41126,0.12016,8.5566,2.3317,1.5141
61,5.0364,1.8624,1.2577,0.0090849,0.0090849,0.0090849,0.57984,0.46512,0.45666,0.1409,6.2099,2.4622,1.2594
62,5.2643,1.9228,1.2374,0.0090546,0.0090546,0.0090546,0.56769,0.37209,0.36833,0.13468,7.1572,2.5811,1.3585
63,4.9165,1.7032,1.2278,0.0090239,0.0090239,0.0090239,0.67915,0.46512,0.49156,0.15634,7.1324,2.2353,1.3728
64,4.6978,1.6192,1.1801,0.0089928,0.0089928,0.0089928,0.67866,0.48837,0.49196,0.14981,7.4706,2.5464,1.3601
65,4.7546,1.661,1.2185,0.0089613,0.0089613,0.0089613,0.72304,0.44186,0.42615,0.11704,7.9388,2.1147,1.4817
66,4.9397,1.8174,1.2443,0.0089293,0.0089293,0.0089293,0.75726,0.37209,0.41699,0.12034,9.0449,2.358,1.5666
67,5.0365,1.7698,1.2645,0.0088969,0.0088969,0.0088969,0.6336,0.39535,0.40339,0.17614,6.9402,2.1089,1.3801
68,4.6496,1.7583,1.2125,0.008864,0.008864,0.008864,0.78892,0.4186,0.47592,0.17033,7.5295,1.8015,1.3989
69,4.5443,1.6263,1.2253,0.0088308,0.0088308,0.0088308,0.74632,0.47914,0.49773,0.16598,6.7293,1.9587,1.3228
70,4.7044,1.6887,1.2178,0.0087971,0.0087971,0.0087971,0.73197,0.4186,0.42607,0.14222,8.5765,2.3066,1.4926
71,4.6263,1.6879,1.2152,0.008763,0.008763,0.008763,0.61307,0.60465,0.57246,0.24578,6.3023,1.7212,1.2645
72,4.7785,1.6492,1.242,0.0087286,0.0087286,0.0087286,0.69959,0.5814,0.62883,0.23583,6.15,1.5066,1.2095
73,4.7724,1.6818,1.2281,0.0086937,0.0086937,0.0086937,0.77863,0.62791,0.62061,0.2417,6.365,1.6206,1.2924
74,4.5589,1.6939,1.2319,0.0086584,0.0086584,0.0086584,0.93213,0.46512,0.56962,0.16686,6.9503,2.1409,1.2951
75,4.7348,1.5124,1.2088,0.0086227,0.0086227,0.0086227,0.67092,0.44186,0.48836,0.16824,7.0583,2.1549,1.314
76,4.5374,1.6727,1.1951,0.0085866,0.0085866,0.0085866,0.75738,0.50828,0.58053,0.24923,6.583,2.2024,1.3101
77,4.6028,1.5381,1.2021,0.0085502,0.0085502,0.0085502,0.6591,0.4186,0.40696,0.12934,9.0142,2.5131,1.595
78,4.8544,1.6291,1.2467,0.0085133,0.0085133,0.0085133,0.77169,0.46512,0.47073,0.15615,8.0044,2.0891,1.4318
79,4.4642,1.6325,1.1858,0.0084761,0.0084761,0.0084761,0.83791,0.48837,0.61408,0.22381,6.1828,1.9235,1.2161
80,4.4933,1.4741,1.1714,0.0084385,0.0084385,0.0084385,0.77051,0.5814,0.65349,0.23247,6.2165,1.9284,1.2172
81,4.5134,1.5779,1.2113,0.0084005,0.0084005,0.0084005,0.72188,0.39535,0.43973,0.18935,6.4256,2.2717,1.2483
82,4.6084,1.555,1.1854,0.0083622,0.0083622,0.0083622,0.81873,0.39535,0.48115,0.21107,6.2591,1.9163,1.2261
83,4.3921,1.6853,1.1992,0.0083235,0.0083235,0.0083235,0.77296,0.4186,0.46357,0.17489,6.9443,1.929,1.2824
84,4.4622,1.5905,1.2307,0.0082844,0.0082844,0.0082844,0.8924,0.4186,0.49784,0.15335,7.2988,2.0126,1.3428
85,4.3395,1.488,1.1939,0.008245,0.008245,0.008245,0.5446,0.46512,0.45777,0.15703,7.2364,1.9957,1.3241
86,4.625,1.5176,1.2264,0.0082052,0.0082052,0.0082052,0.8021,0.34884,0.49061,0.18192,6.4957,1.9868,1.2869
87,4.8411,1.5106,1.2097,0.0081651,0.0081651,0.0081651,0.67225,0.48837,0.54302,0.18608,7.8876,2.1014,1.4492
88,4.344,1.4131,1.1643,0.0081247,0.0081247,0.0081247,0.8284,0.5814,0.60535,0.25448,6.7598,1.8377,1.332
89,4.5468,1.5285,1.1853,0.0080839,0.0080839,0.0080839,0.58826,0.53488,0.5176,0.17769,7.029,2.3707,1.3102
90,4.6575,1.5412,1.2326,0.0080428,0.0080428,0.0080428,0.78904,0.46512,0.55461,0.19413,6.856,2.1093,1.3923
91,4.3861,1.5655,1.2015,0.0080013,0.0080013,0.0080013,0.74762,0.55814,0.5342,0.18825,6.8868,1.969,1.3359
92,4.3599,1.4498,1.1688,0.0079595,0.0079595,0.0079595,0.74875,0.37209,0.36274,0.10214,9.1542,2.5311,1.5204
93,4.3801,1.3844,1.1657,0.0079174,0.0079174,0.0079174,0.90939,0.51163,0.59303,0.19738,6.682,1.8005,1.3413
94,4.2588,1.5091,1.1959,0.007875,0.007875,0.007875,0.80519,0.57685,0.65179,0.22364,6.2916,1.7155,1.2455
95,4.5796,1.4084,1.1894,0.0078323,0.0078323,0.0078323,0.91571,0.50546,0.65951,0.24587,5.9884,1.6549,1.2005
96,4.4677,1.4497,1.2032,0.0077893,0.0077893,0.0077893,0.80809,0.53488,0.5825,0.1885,7.145,1.6522,1.3956
97,4.3167,1.5139,1.2077,0.007746,0.007746,0.007746,0.74696,0.48074,0.5468,0.18364,7.3921,1.5766,1.4056
98,4.3308,1.4133,1.2063,0.0077023,0.0077023,0.0077023,0.80536,0.5814,0.5907,0.2143,6.9595,1.6486,1.3681
99,4.4199,1.4425,1.2132,0.0076584,0.0076584,0.0076584,0.79915,0.5814,0.68114,0.27638,6.0604,1.7347,1.2171
100,4.073,1.3493,1.1465,0.0076142,0.0076142,0.0076142,0.90908,0.60465,0.68224,0.25497,6.2308,1.5276,1.267
101,4.2308,1.3331,1.1414,0.0075698,0.0075698,0.0075698,0.74825,0.62222,0.64526,0.22077,6.665,1.4224,1.3163
102,4.1886,1.4446,1.1778,0.007525,0.007525,0.007525,0.79937,0.51163,0.59494,0.1791,6.6649,1.56,1.3493
103,4.2313,1.2897,1.1705,0.00748,0.00748,0.00748,0.74781,0.5814,0.61345,0.19025,6.7327,1.5647,1.3022
104,4.1936,1.3862,1.1786,0.0074347,0.0074347,0.0074347,0.82364,0.46512,0.55102,0.2197,6.6275,1.6714,1.2743
105,4.139,1.2621,1.1587,0.0073891,0.0073891,0.0073891,0.85967,0.46512,0.52847,0.21688,6.5123,1.8762,1.255
106,4.4489,1.3613,1.1608,0.0073433,0.0073433,0.0073433,0.89858,0.5814,0.61411,0.24507,6.4756,1.6138,1.2546
107,4.1499,1.2634,1.1457,0.0072973,0.0072973,0.0072973,0.79542,0.54271,0.6286,0.2447,6.39,1.8206,1.2788
108,4.0286,1.3462,1.1425,0.0072509,0.0072509,0.0072509,0.82266,0.62791,0.65568,0.25484,6.3058,1.663,1.2604
109,4.2034,1.3053,1.1707,0.0072044,0.0072044,0.0072044,0.73451,0.51163,0.58136,0.21013,6.9729,1.6225,1.322
110,4.1168,1.3461,1.1712,0.0071576,0.0071576,0.0071576,0.86649,0.53488,0.63387,0.23008,6.556,1.5276,1.2783
